Package,Built
acepack,3.4.0
backports,3.4.3
caret,3.4.3
censusapi,3.4.1
checkmate,3.4.2
clisymbols,3.4.0
corrgram,3.4.0
corrplot,3.4.2
CVST,3.4.0
data.table,3.4.2
ddalpha,3.4.2
dendextend,3.4.2
DEoptimR,3.4.0
desc,3.4.1
devtools,3.4.2
dimRed,3.4.0
diptest,3.4.0
DRR,3.4.3
DT,3.4.0
e1071,3.4.0
enc,3.4.2
evaluate,3.4.1
flexmix,3.4.0
formatR,3.4.0
Formula,3.4.1
fpc,3.4.3
fs,3.4.2
gclus,3.4.0
gdata,3.4.0
ggforce,3.4.0
ggnet,3.4.2
ggraph,3.4.2
ggrepel,3.4.2
ggthemes,3.4.0
gh,3.4.1
git2r,3.4.3
gower,3.4.0
gplots,3.4.0
gtools,3.4.0
highr,3.4.0
HistData,3.4.1
Hmisc,3.4.3
htmlTable,3.4.3
ini,3.4.2
ipred,3.4.0
kernlab,3.4.0
knitr,3.4.3
latticeExtra,3.4.0
lava,3.4.3
mclust,3.4.3
memoise,3.4.0
mice,3.4.2
ModelMetrics,3.4.0
modeltools,3.4.0
mvtnorm,3.4.0
network,3.4.0
numDeriv,3.4.0
packrat,3.4.0
PKI,3.4.1
prabclus,3.4.0
prodlim,3.4.0
qap,3.4.0
randomForest,3.4.0
RcppRoll,3.4.0
RCurl,3.4.3
recipes,3.4.2
rematch2,3.4.1
RJSONIO,3.4.0
rmarkdown,3.4.2
robustbase,3.4.2
rprojroot,3.4.3
rsconnect,3.4.1
RSocrata,3.4.3
rstudioapi,3.4.1
seriation,3.4.0
sfsmisc,3.4.0
sna,3.4.0
SQUAREM,3.4.2
statnet.common,3.4.1
styler,3.4.3
timeDate,3.4.2
trimcluster,3.4.0
TSP,3.4.0
tweenr,3.4.0
udunits2,3.4.0
units,3.4.3
usethis,3.4.3
UsingR,3.4.0
whisker,3.4.0
withr,3.4.3
