"","Package","LibPath","Version","Priority","Built"
"1","acepack","/Users/kaczmarek/Library/R/3.4/library","1.4.1",NA,"3.4.0"
"2","backports","/Users/kaczmarek/Library/R/3.4/library","1.1.2",NA,"3.4.3"
"3","caret","/Users/kaczmarek/Library/R/3.4/library","6.0-78",NA,"3.4.3"
"4","censusapi","/Users/kaczmarek/Library/R/3.4/library","0.2.1",NA,"3.4.1"
"5","checkmate","/Users/kaczmarek/Library/R/3.4/library","1.8.5",NA,"3.4.2"
"6","clisymbols","/Users/kaczmarek/Library/R/3.4/library","1.2.0",NA,"3.4.0"
"7","corrgram","/Users/kaczmarek/Library/R/3.4/library","1.12",NA,"3.4.0"
"8","corrplot","/Users/kaczmarek/Library/R/3.4/library","0.84",NA,"3.4.2"
"9","CVST","/Users/kaczmarek/Library/R/3.4/library","0.2-1",NA,"3.4.0"
"10","data.table","/Users/kaczmarek/Library/R/3.4/library","1.10.4-3",NA,"3.4.2"
"11","ddalpha","/Users/kaczmarek/Library/R/3.4/library","1.3.1",NA,"3.4.2"
"12","dendextend","/Users/kaczmarek/Library/R/3.4/library","1.6.0",NA,"3.4.2"
"13","DEoptimR","/Users/kaczmarek/Library/R/3.4/library","1.0-8",NA,"3.4.0"
"14","desc","/Users/kaczmarek/Library/R/3.4/library","1.1.1",NA,"3.4.1"
"15","devtools","/Users/kaczmarek/Library/R/3.4/library","1.13.4",NA,"3.4.2"
"16","dimRed","/Users/kaczmarek/Library/R/3.4/library","0.1.0",NA,"3.4.0"
"17","diptest","/Users/kaczmarek/Library/R/3.4/library","0.75-7",NA,"3.4.0"
"18","DRR","/Users/kaczmarek/Library/R/3.4/library","0.0.3",NA,"3.4.3"
"19","DT","/Users/kaczmarek/Library/R/3.4/library","0.2",NA,"3.4.0"
"20","e1071","/Users/kaczmarek/Library/R/3.4/library","1.6-8",NA,"3.4.0"
"21","enc","/Users/kaczmarek/Library/R/3.4/library","0.1",NA,"3.4.2"
"22","evaluate","/Users/kaczmarek/Library/R/3.4/library","0.10.1",NA,"3.4.1"
"23","flexmix","/Users/kaczmarek/Library/R/3.4/library","2.3-14",NA,"3.4.0"
"24","formatR","/Users/kaczmarek/Library/R/3.4/library","1.5",NA,"3.4.0"
"25","Formula","/Users/kaczmarek/Library/R/3.4/library","1.2-2",NA,"3.4.1"
"26","fpc","/Users/kaczmarek/Library/R/3.4/library","2.1-11",NA,"3.4.3"
"27","fs","/Users/kaczmarek/Library/R/3.4/library","1.1.0",NA,"3.4.2"
"28","gclus","/Users/kaczmarek/Library/R/3.4/library","1.3.1",NA,"3.4.0"
"29","gdata","/Users/kaczmarek/Library/R/3.4/library","2.18.0",NA,"3.4.0"
"30","ggforce","/Users/kaczmarek/Library/R/3.4/library","0.1.1",NA,"3.4.0"
"31","ggnet","/Users/kaczmarek/Library/R/3.4/library","0.1.0",NA,"3.4.2"
"32","ggraph","/Users/kaczmarek/Library/R/3.4/library","1.0.1",NA,"3.4.2"
"33","ggrepel","/Users/kaczmarek/Library/R/3.4/library","0.7.0",NA,"3.4.2"
"34","ggthemes","/Users/kaczmarek/Library/R/3.4/library","3.4.0",NA,"3.4.0"
"35","gh","/Users/kaczmarek/Library/R/3.4/library","1.0.1",NA,"3.4.1"
"36","git2r","/Users/kaczmarek/Library/R/3.4/library","0.21.0",NA,"3.4.3"
"37","gower","/Users/kaczmarek/Library/R/3.4/library","0.1.2",NA,"3.4.0"
"38","gplots","/Users/kaczmarek/Library/R/3.4/library","3.0.1",NA,"3.4.0"
"39","gtools","/Users/kaczmarek/Library/R/3.4/library","3.5.0",NA,"3.4.0"
"40","highr","/Users/kaczmarek/Library/R/3.4/library","0.6",NA,"3.4.0"
"41","HistData","/Users/kaczmarek/Library/R/3.4/library","0.8-2",NA,"3.4.1"
"42","Hmisc","/Users/kaczmarek/Library/R/3.4/library","4.1-1",NA,"3.4.3"
"43","htmlTable","/Users/kaczmarek/Library/R/3.4/library","1.11.1",NA,"3.4.3"
"44","ini","/Users/kaczmarek/Library/R/3.4/library","0.3.0",NA,"3.4.2"
"45","ipred","/Users/kaczmarek/Library/R/3.4/library","0.9-6",NA,"3.4.0"
"46","kernlab","/Users/kaczmarek/Library/R/3.4/library","0.9-25",NA,"3.4.0"
"47","knitr","/Users/kaczmarek/Library/R/3.4/library","1.18",NA,"3.4.3"
"48","latticeExtra","/Users/kaczmarek/Library/R/3.4/library","0.6-28",NA,"3.4.0"
"49","lava","/Users/kaczmarek/Library/R/3.4/library","1.6",NA,"3.4.3"
"50","mclust","/Users/kaczmarek/Library/R/3.4/library","5.4",NA,"3.4.3"
"51","memoise","/Users/kaczmarek/Library/R/3.4/library","1.1.0",NA,"3.4.0"
"52","mice","/Users/kaczmarek/Library/R/3.4/library","2.46.0",NA,"3.4.2"
"53","ModelMetrics","/Users/kaczmarek/Library/R/3.4/library","1.1.0",NA,"3.4.0"
"54","modeltools","/Users/kaczmarek/Library/R/3.4/library","0.2-21",NA,"3.4.0"
"55","mvtnorm","/Users/kaczmarek/Library/R/3.4/library","1.0-6",NA,"3.4.0"
"56","network","/Users/kaczmarek/Library/R/3.4/library","1.13.0",NA,"3.4.0"
"57","numDeriv","/Users/kaczmarek/Library/R/3.4/library","2016.8-1",NA,"3.4.0"
"58","packrat","/Users/kaczmarek/Library/R/3.4/library","0.4.8-1",NA,"3.4.0"
"59","PKI","/Users/kaczmarek/Library/R/3.4/library","0.1-5.1",NA,"3.4.1"
"60","prabclus","/Users/kaczmarek/Library/R/3.4/library","2.2-6",NA,"3.4.0"
"61","prodlim","/Users/kaczmarek/Library/R/3.4/library","1.6.1",NA,"3.4.0"
